Player;Share;predictions;actual_rank;predicted_rank;right_pred?;year;train_score;test_score
Kareem Abdul-Jabbar;0,665;0,19023;1;1;yes;1980;0,889;0,449
Julius Erving;0,658;0,28768;1;2;no;1981;0,908;0,503
Moses Malone;0,735;0,36968;1;2;no;1982;0,935;0,485
Moses Malone;0,96;0,45846;1;1;yes;1983;0,934;0,732
Larry Bird;0,858;0,3964;1;2;no;1984;0,947;0,452
Larry Bird;0,978;0,61684;1;1;yes;1985;0,938;0,749
Larry Bird;0,981;0,76207;1;1;yes;1986;0,945;0,76
Magic Johnson;0,94;0,61844;1;2;no;1987;0,953;0,732
Michael Jordan;0,831;0,54417;1;1;yes;1988;0,957;0,683
Magic Johnson;0,782;0,51251;1;3;no;1989;0,958;0,721
Magic Johnson;0,691;0,74498;1;1;yes;1990;0,958;0,528
Michael Jordan;0,928;0,7421;1;1;yes;1991;0,957;0,766
Michael Jordan;0,938;0,90837;1;1;yes;1992;0,962;0,674
Charles Barkley;0,852;0,48507;1;2;no;1993;0,96;0,724
Hakeem Olajuwon;0,88;0,4658;1;2;no;1994;0,959;0,781
David Robinson;0,858;0,83344;1;1;yes;1995;0,961;0,89
Michael Jordan;0,986;0,80682;1;1;yes;1996;0,96;0,849
Karl Malone;0,857;0,70227;1;2;no;1997;0,963;0,911
Michael Jordan;0,934;0,71863;1;1;yes;1998;0,965;0,792
Karl Malone;0,701;0,08407;1;2;no;1999;0,967;0,135
Shaquille O'Neal;0,998;0,79876;1;1;yes;2000;0,963;0,887
Allen Iverson;0,904;0,32659;1;2;no;2001;0,964;0,54
Tim Duncan;0,757;0,54001;1;1;yes;2002;0,964;0,444
Tim Duncan;0,808;0,57953;1;1;yes;2003;0,962;0,652
Kevin Garnett;0,991;0,65366;1;1;yes;2004;0,962;0,7
Steve Nash;0,839;0,03269;1;16;no;2005;0,962;-0,214
Steve Nash;0,739;0,08523;1;12;no;2006;0,956;0,351
Dirk Nowitzki;0,882;0,62266;1;1;yes;2007;0,955;0,812
Kobe Bryant;0,873;0,29485;1;3;no;2008;0,955;0,627
LeBron James;0,969;0,82182;1;1;yes;2009;0,955;0,751
LeBron James;0,98;0,81185;1;1;yes;2010;0,956;0,798
Derrick Rose;0,977;0,4087;1;2;no;2011;0,956;0,596
LeBron James;0,888;0,47061;1;1;yes;2012;0,956;0,656
LeBron James;0,998;0,80475;1;1;yes;2013;0,956;0,873
Kevin Durant;0,986;0,64827;1;1;yes;2014;0,958;0,755
Stephen Curry;0,922;0,72846;1;1;yes;2015;0,958;0,823
Stephen Curry;1;0,86367;1;1;yes;2016;0,959;0,875
Russell Westbrook;0,879;0,28539;1;5;no;2017;0,959;0,409
James Harden;0,955;0,74902;1;1;yes;2018;0,96;0,83
Giannis Antetokounmpo;0,932;0,53853;1;2;no;2019;0,96;0,801
Giannis Antetokounmpo;0,952;0,48812;1;1;yes;2020;0,961;0,739
Nikola Jokić;0,961;0,56824;1;1;yes;2021;0,961;0,709
Nikola Jokić;0,875;0,55395;1;1;yes;2022;0,962;0,776